protein_id	gene_names	peptides	intensity
P84098	RPL19	4	14309000
P52597	HNRNPF	8	14248000
O75874	IDH1	12	14083000
Q14152	EIF3A	20	13987000
Q9Y3Z3	SAMHD1	20	13965000
P22307	SCP2	11	13845000
P62861	FAU	2	13790000
P61769	B2M	3	13781000
P54577	YARS	19	13770000
Q08380	LGALS3BP	10	13740000
P07585	DCN	6	13625000
Q9BYZ8	REG4	4	13502000
P62136	PPP1CA	16	13440000
P49721	PSMB2	2	13359000
P61254	RPL26	3	13252000
Q9NZ08	ERAP1	18	13211000
P28838	LAP3	16	13209000
Q9BS26	ERP44	7	13207000
P07942	LAMB1	21	13147000
Q7Z2Z2	EFTUD1	2	13009000
P13611	VCAN	12	12970000
P16152	CBR1	14	12967000
P14854	COX6B1	5	12908000
Q9P2J5	LARS	13	12885000
O15511	ARPC5	3	12847000
P09622	DLD	11	12834000
Q9NSE4	IARS2	15	12702000
P60900	PSMA6	7	12685000
Q9Y230	RUVBL2	16	12633000
O95831	AIFM1	17	12629000
P08174	CD55	9	12515000
P37108	SRP14	6	12482000
P22087	FBL	11	12462000
Q14247	CTTN	14	12451000
O00231	PSMD11	13	12448000
P06454	PTMA	2	12436000
Q16401	PSMD5	14	12388000
P08574	CYC1	3	12337000
Q92522	H1FX	6	12310000
Q9HC38	GLOD4	9	12304000
Q8N163	CCAR2	13	12244000
Q01813	PFKP	18	12084000
Q53GQ0	HSD17B12	9	12068000
Q14126	DSG2	16	12038000
P26640	VARS	22	11942000
O43143	DHX15	15	11933000
P61019	RAB2A	8	11916000
P52565	ARHGDIA	4	11828000
O00567	NOP56	13	11778000
O14773	TPP1	5	11755000
P14543	NID1	18	11724000
P13797	PLS3	17	11675000
Q9HB71	CACYBP	9	11647000
Q9NQW7	XPNPEP1	14	11602000
Q8NFV4	ABHD11	8	11598000
P55060	CSE1L	17	11590000
P00491	PNP	10	11568000
P42224	STAT1	17	11559000
P02747	C1QC	5	11413000
P20160	AZU1	3	11389000
P28066	PSMA5	6	11380000
P43307	SSR1	3	11331000
Q9Y2B0	CNPY2	6	11307000
P15311	EZR	15	11300000
Q8WVV4	POF1B	14	11263000
P30626	SRI	5	11241000
Q15691	MAPRE1	9	11226000
P11766	ADH5	9	11136000
Q96IU4	ABHD14B	8	11090000
O00264	PGRMC1	7	11077000
P16402	HIST1H1D	11	11028000
O60547	GMDS	10	11024000
P25685	DNAJB1	10	10936000
Q9BVK6	TMED9	5	10882000
Q14847	LASP1	11	10874000
Q9BZZ5	API5	10	10837000
Q9NX63	CHCHD3	8	10815000
Q8TD06	AGR3	4	10799000
P07602	PSAP	11	10797000
Q96KP4	CNDP2	11	10774000
Q15417	CNN3	5	10646000
Q9P2R7	SUCLA2	10	10616000
P52815	MRPL12	5	10610000
O75368	SH3BGRL	6	10597000
P11177	PDHB	6	10553000
P67936	TPM4	14	10546000
Q9HC35	EML4	9	10521000
P40763	STAT3	12	10519000
Q15029	EFTUD2	18	10425000
P38919	EIF4A3	15	10363000
Q13576	IQGAP2	26	10353000
O76021	RSL1D1	16	10351000
P47756	CAPZB	7	10314000
P00915	CA1	7	10296000
Q12797	ASPH	9	10252000
P17844	DDX5	16	10248000
Q9UJZ1	STOML2	6	10175000
P14868	DARS	11	10090000
P38606	ATP6V1A	13	10067000
Q7RTV0	PHF5A	3	10059000
P04155	TFF1	3	10034000
Q04637	EIF4G1	17	10027000
Q9Y3U8	RPL36	4	10012000
P51148	RAB5C	4	10004000
Q6P2Q9	PRPF8	27	9995200
Q96HC4	PDLIM5	11	9988600
P12270	TPR	27	9977800
P84090	ERH	2	9976500
P45954	ACADSB	8	9964600
P11413	G6PD	13	9962000
Q12805	EFEMP1	8	9930200
P50552	VASP	11	9833100
P16422	EPCAM	5	9832800
P63279	UBE2I	7	9801000
P35637	FUS	4	9800800
O60664	PLIN3	9	9781400
P56134	ATP5J2	4	9778800
O15204	ADAMDEC1	5	9727200
P41250	GARS	10	9710700
O75131	CPNE3	11	9683400
P23786	CPT2	14	9612400
