protein_id	gene_names	peptides	intensity
Q96PZ0	PUS7	1	37006000
P24539	ATP5F1	14	36891000
P51149	RAB7A	11	36710000
P61769	B2M	4	36610000
P11586	MTHFD1	28	36523000
P39656	DDOST	14	36375000
Q16822	PCK2	20	36273000
P62913	RPL11	6	36267000
P17858	PFKL	18	36165000
P51571	SSR4	5	36021000
P46777	RPL5	8	35835000
P16615	ATP2A2	20	35784000
Q12906	ILF3	22	35726000
Q04917	YWHAH	12	35677000
P13861	PRKAR2A	14	35614000
P46776	RPL27A	6	35395000
P20774	OGN	10	35259000
P62750	RPL23A	8	35228000
P22307	SCP2	17	34985000
P20839	IMPDH1	1	34749000
P31040	SDHA	16	34563000
P56134	ATP5J2	4	34560000
Q53EL6	PDCD4	12	34434000
P00488	F13A1	16	34357000
P14406	COX7A2	2	34279000
O14880	MGST3	4	34132000
Q14152	EIF3A	21	33976000
O43704	SULT1B1	11	33964000
Q96QK1	VPS35	19	33670000
P62917	RPL8	8	33624000
P31948	STIP1	19	33546000
O00159	MYO1C	29	33500000
P55145	MANF	9	33178000
Q9UL46	PSME2	10	33177000
P47755	CAPZA2	10	33167000
P50213	IDH3A	12	33130000
P60709	ACTB	22	32784000
Q6UX06	OLFM4	9	32664000
P27348	YWHAQ	13	32538000
P00387	CYB5R3	11	32514000
P43243	MATR3	11	32486000
O60506	SYNCRIP	16	32407000
P62851	RPS25	5	32197000
Q9UQ80	PA2G4	14	31969000
P31939	ATIC	21	31718000
P36871	PGM1	17	31600000
P09960	LTA4H	19	31579000
P46779	RPL28	7	31539000
P52597	HNRNPF	9	31219000
Q13576	IQGAP2	33	31208000
Q15907	RAB11B	11	31157000
P07602	PSAP	8	31049000
P35222	CTNNB1	27	31002000
O60547	GMDS	14	30766000
P01903	HLA-DRA	7	30507000
P34932	HSPA4	20	30224000
Q7KZF4	SND1	23	30173000
Q99805	TM9SF2	12	30045000
P47914	RPL29	2	29989000
P62081	RPS7	7	29817000
P52566	ARHGDIB	9	29741000
P28838	LAP3	14	29571000
P62136	PPP1CA	17	29426000
Q16891	IMMT	20	29392000
O94760	DDAH1	13	29297000
P48444	ARCN1	14	29243000
Q15185	PTGES3	4	29136000
Q08380	LGALS3BP	11	29033000
Q02978	SLC25A11	11	28758000
Q99536	VAT1	8	28719000
Q9H4A4	RNPEP	12	28651000
P0DJI8	SAA1	4	28393000
O95831	AIFM1	13	28047000
P62753	RPS6	5	28046000
Q02543	RPL18A	9	28004000
Q15019	SEPT2	10	27891000
P07108	DBI	6	27727000
O95336	PGLS	10	27676000
Q9Y2J8	PADI2	15	27593000
Q12905	ILF2	11	27536000
P30043	BLVRB	9	27530000
